Scheme Name,Eligible Categories,Eligible Genders,Max Income,Age Range,Disability Required,Rural Only,Business Types
Technology Development Fund (TDF) Scheme,ANY,ANY,No cap / not found,Not found,No,No,"trading, startup"
Technology Development Fund Scheme (TTDF) / Technology Development and Transfer,ANY,female,"₹100,000,000",18-65,No,No,"Defence Technology, R&D, Innovation, Startups, MSME Support, Technology Transfer"
Technology Fellowship and Patent Promotion Scheme,ANY,ANY,No cap / not found,Not found,No,No,education
Technology Transfer & Commercialization Support Scheme,ANY,female,No cap / not found,Not found,No,No,startup
Technology and Financial Rehabilitation Scheme (TFRS),ANY,female,"₹500,000",18-65,No,No,"Financial Rehabilitation, Technology Support, Tribal Welfare, MSME Support, Debt Relief"
Tejaswini-the Radiant,ANY,female,No cap / not found,18-35,No,Yes,education
Telecom Technology Development Fund,ANY,ANY,No cap / not found,Not found,No,No,startup
Term Loan Scheme,ANY,ANY,"₹98,000",18-50,No,No,ANY
Term Loan Scheme for Backward Classes,ANY,ANY,"₹300,000",18-55,No,No,ANY
Term Loan Scheme- Credit Line 1 for Minority Community,Minority,ANY,"₹98,000",18-55,No,No,ANY
Term Loan Scheme- Credit Line 2 for Minority Community,Minority,ANY,"₹98,001",18-55,No,No,ANY
Term Loan under NSKFDC- Haryana,ANY,ANY,No cap / not found,18-55,No,No,"education, healthcare"
Testing Equipment Scheme (TES),ANY,female,No cap / not found,Not found,No,No,"Quality Control, Testing Equipment, Manufacturing, Micro & Small Enterprises, Industrial Development"
Testing Fee Reimbursement Scheme,"SC, ST",ANY,No cap / not found,Not found,No,No,MSME
The West Bengal Incentive Scheme: Additional Incentive for Adventure Tour Operators,ANY,ANY,No cap / not found,Not found,No,No,ANY
The West Bengal Incentive Scheme: Additional Incentive on Generation of Employment,ANY,ANY,No cap / not found,Not found,No,No,ANY
The West Bengal Incentive Scheme: Capacity Utilisation,ANY,ANY,No cap / not found,Not found,No,No,ANY
The West Bengal Incentive Scheme: Interest Subsidy on Term Loan,ANY,ANY,No cap / not found,Not found,No,No,ANY
The West Bengal Incentive Scheme: Reimbursement of Stamp Duty and Registration Fee,ANY,ANY,No cap / not found,Not found,No,No,ANY
The West Bengal Incentive Scheme: State Capital Investment Subsidy,ANY,ANY,No cap / not found,Not found,No,No,ANY
The West Bengal Incentive Scheme: Subsidy for Quality Improvement,ANY,ANY,No cap / not found,Not found,No,No,ANY
The West Bengal Incentive Scheme: Tourism Promotion Assistance in lieu of Interest Subsidy,ANY,ANY,No cap / not found,Not found,No,No,ANY
The West Bengal Incentive Scheme: Waiver of Electricity Duty,ANY,ANY,No cap / not found,Not found,No,No,ANY
Tool Kit Scheme (P.B.O.C.W.W.B),ANY,ANY,"₹15,000",18-60,No,No,healthcare
Tool Purchase Grant for the Construction Workers,ANY,ANY,No cap / not found,18-60,No,No,ANY
Trade and Business Sector Scheme (HSFDC),ANY,ANY,"₹180,000",Not found,No,No,ANY
Trademark Reimbursement Scheme,ANY,ANY,No cap / not found,Not found,No,No,startup
Transgender Utthan Kosh - Self Employment Programme for Transgender,ANY,ANY,"₹800,000",21-50,No,No,ANY
Transport Loan Scheme,Minority,ANY,No cap / not found,18-45,No,No,ANY
Tripura Industrial Investment Promotion Incentive,ANY,ANY,No cap / not found,Not found,No,No,ANY
Udyogini Scheme,"General, SC, ST",female,"₹200,000",18-55,Yes,No,"Manufacturing, Micro-enterprises, Handicrafts, Food Processing, Services"
Unemployed Youth Employment Generation Programme,"General, Minority, SC, ST",ANY,"₹500,000",Not found,Yes,No,"manufacturing, trading, services"
Unemployed Youth Employment Generation Programme (UYEGP),"General, Minority, SC, ST",female,"₹500,000",18-45,Yes,No,"Manufacturing, Service Sector, Business / Trading, Micro Enterprises"
Unnati Scheme,"SC, ST",ANY,No cap / not found,Not found,No,No,startup
Uttar Poorva Transformative Industrialization Scheme (UNNATI - DPIIT),ANY,female,"₹50,000,000",18-60,No,No,"North East Development, Industrialization, Manufacturing, Capital Investment Subsidy, DPIIT"
Uttarakhand Mega Industrial and Investment Policy (UKMIIP),ANY,female,No cap / not found,Not found,No,No,"Industrial Development, Large Scale Investment, Manufacturing, Capital Investment, Employment Generation"
Venture Capital Fund for Scheduled Castes (VCF-SC),SC,female,"₹20,000,000",18-60,No,No,"Venture Capital, Startup Funding, Enterprise Finance, Scheduled Caste Empowerment, Manufacturing, Innovation"
"Vishesh Katan, Vankari & Vanat Sahay (Spinning & Weaving Assistance Scheme)","General, SC, ST",female,No cap / not found,Not found,No,No,"Khadi & Village Industries, Handloom, Textiles, Production Incentive, Artisans Assistance"
Vocational Yojana & Employment Promotion Scheme (CVY-EMPS),ANY,female,No cap / not found,18-45,No,No,"Vocational Training, Employment Promotion, Skill Development, Youth Empowerment, Job Placement"
"Welfare, Backward Classes & Financial Assistance Grant & Incentive Scheme (WBAFBSGICS)",ANY,female,No cap / not found,18-65,No,No,"Welfare, Backward Classes, Financial Assistance, Incentive Grant, Skill Development, Social Support"
West Bengal Artisans Financial Benefit Scheme 2024: Grant to Industrial Cooperative Society,ANY,ANY,No cap / not found,18-60,No,No,"handicraft, trading"
West Bengal Artisans Financial Benefit Scheme: Facilitation Supports,ANY,ANY,No cap / not found,18-60,No,No,"handicraft, trading"
West Bengal Artisans Financial Benefit Scheme: Support for Digital Marketing,ANY,ANY,No cap / not found,18-60,No,No,"handicraft, trading"
West Bengal Handloom and Khadi Weavers Financial Benefit Scheme 2024: Assistance to Individual Handloom Weaver,ANY,ANY,No cap / not found,Not found,No,No,handicraft
West Bengal Handloom and Khadi Weavers Financial Benefit Scheme 2024: Assistance to Viable and Potentially Viable PWCS,ANY,ANY,No cap / not found,Not found,No,No,handicraft
West Bengal Handloom and Khadi Weavers Financial Benefit Scheme 2024: Supply of Yarn to Societies etc. at Subsidized Rate,ANY,ANY,No cap / not found,Not found,No,No,handicraft
West Bengal Handloom and Khadi Weavers Financial Benefit Scheme 2024: Support for One Time Settlement (OTS) of NPA Accounts of PWCS,ANY,ANY,No cap / not found,Not found,No,No,handicraft
West Bengal Incentive Scheme for Approved Industrial Park (SAIP) for MSMEs: Construction of Approach Road,ANY,ANY,No cap / not found,Not found,No,No,ANY
West Bengal Incentive Scheme for Approved Industrial Park (SAIP) for MSMEs: Incentive for Basic and Essential Common Infrastructure Facilities,ANY,ANY,No cap / not found,Not found,No,No,ANY
West Bengal Incentive Scheme for Approved Industrial Park (SAIP) for MSMEs: Incentive for Common Effluent Treatment Plant (CETP),ANY,ANY,No cap / not found,Not found,No,No,ANY
West Bengal Incentive Scheme for Approved Industrial Park (SAIP) for MSMEs: Incentive for Setting up a Power Sub Station,ANY,ANY,No cap / not found,Not found,No,No,ANY
West Bengal Incentive Scheme for Approved Industrial Park (SAIP) for MSMEs: Reimbursement of Stamp Duty,ANY,ANY,No cap / not found,Not found,No,No,ANY
West Bengal Textile Incentive Scheme: Incentive for Energy Efficiency,ANY,ANY,No cap / not found,Not found,No,No,manufacturing
West Bengal Textile Incentive Scheme: Power Subsidy,ANY,ANY,No cap / not found,Not found,No,No,manufacturing
West Bengal Textile Incentive Scheme: Reimbursement of Stamp Duty and Registration Fee,ANY,ANY,No cap / not found,Not found,No,No,manufacturing
West Bengal Textile Incentive Scheme: State Capital Investment Subsidy,ANY,ANY,No cap / not found,Not found,No,No,manufacturing
West Bengal Textile Incentive Scheme: Subsidy for Water conservation/ Environment Compliance,ANY,ANY,No cap / not found,Not found,No,No,manufacturing
West Bengal Textile Incentive Scheme: Waiver of Electricity Duty,ANY,ANY,No cap / not found,Not found,No,No,manufacturing
West Bengal Textile Incentive Scheme: Waiver of Fees for Land Conversion and Mutation,ANY,ANY,No cap / not found,Not found,No,No,manufacturing
Women Self Employment Scheme,ANY,female,"₹35,000",Not found,Yes,No,trading
YSR Nethanna Nestham,ANY,ANY,No cap / not found,Not found,No,No,handicraft
"Exposure Tour for the Coir Artisansan Component of the ""Development of Coir"" Scheme",ANY,ANY,No cap / not found,Not found,No,No,handicraft
